ID,Subject,Question_English,Question_Yoruba,Question_Hausa,Question_Igbo,Correct_Answer
IS_001,Biology,Which animal is known as the 'King of the Jungle'?,Ẹranko wo ni a mọ̀ sí 'Ọba Inú Igbó'?,Wace dabba ce aka sani da 'Sarkin Dajin'?,Kedu anụmanụ a maara dị ka 'Eze Ọhịa'?,Lion / Kìnnìún / Zaki / Odum
IS_002,Biology,What do bees make that we like to eat?,Kí ni àwọn oyin ń ṣe tí a fẹ́ràn láti jẹ?,Me ƙudan zuma suke yi wanda muke son ci?,Gịnị ka aṅụ na-emepụta nke anyị na-amasị iri?,Honey / Oyin / Zuma / Mmanụ aṅụ
IS_003,Biology,How many legs does a spider have?,Ẹsẹ̀ mélòó ni aláǹtakùn ní?,Ƙafafu nawa gizo-gizo yake da su?,Ụkwụ ole ka ududo nwere?,8 / Jẹ́jẹ́ / Takwas / Asatọ
IS_004,Biology,Which organ in your body pumps blood?,Ẹ̀yà ara wo ló ń pọ̀mù ẹ̀jẹ̀ nínú ara rẹ?,Wace gaba ce a jikinka take tura jini?,Kedu akụkụ ahụ gị na-agbapụta ọbara?,Heart / Ọkàn / Zuciya / Obi
IS_005,Biology,What do we call a baby frog?,Kí ni a ń pe ọmọ ìgbín?,Me muke kiran jaririn kwaɗo?,Gịnị ka anyị na-akpọ nwa mbe?,Tadpole / Ọmọ ìgbín / Tunuku / Nwa nshịkọ
IS_006,Biology,Which part of the plant makes food using sunlight?,Apá wo nínú igbó ló ń ṣe oúnjẹ nípa lílo oòrùn?,Wane sashen shuka ne yake yin abinci ta amfani da hasken rana?,Kedu akụkụ osisi na-emepụta nri site n'ìhè anyanwụ?,Leaf / Ewé / Ganye / Akwụkwọ osisi
IS_007,Biology,Do fish breathe air like humans or use gills in water?,Ǹjẹ́ ẹja ń mí afẹ́fẹ́ bí ènìyàn tàbí ó ń lo gílì nínú omi?,Shin kifi yana numfashi ne kamar mutum ko kuwa yana amfani da gills a cikin ruwa?,Azụ ọ na-eku ume ka ụmụ mmadụ ka ọ̀ na-eji 'gills' n'ime mmiri?,Gills / Gílì / Gills / Gills
IS_008,Biology,What is the largest land animal?,Ẹranko ilẹ̀ wo ló tóbi jù lọ?,Wace dabba ce tafi kowace girma a doron ƙasa?,Kedu anụmanụ kachasị ukwuu n'ala?,Elephant / Erin / Giwa / Enyi
IS_009,Biology,What covers a bird's body to keep it warm?,Kí ni ó bo ara ẹyẹ láti jẹ́ kí ooru mọ́ ọn?,Me yake lulluɓe jikin tsuntsu don ya dumama shi?,Gịnị na-ekpuchi ahụ nnụnụ iji mee ka ahụ kporo ya ọkụ?,Feathers / Ìyẹ́ / Gashin tsuntsu / Abụba nnụnụ
IS_010,Biology,Which sense do we use to tell if something is sweet?,Èrò wo ni a ń lò láti mọ̀ báyìí nǹkan bá dùn?,Wace gaba muke amfani da ita don sanin ko abu yana da zaƙi?,Kedu akụkụ ahụ anyị na-eji amata ma ihe ọ̀ tọrọ ụtọ?,Tongue / Ahọ́n / Halshi / Ire
IS_011,Biology,What do caterpillars turn into?,Kí ni àwọn kátapílà ń di?,Me tsutsa take komawa bayan ta girma?,Gịnị ka 'caterpillars' na-aghọ?,Butterfly / Labalábá / Malam buɗe mana littafi / Labalaba
IS_012,Biology,Which animal carries its baby in a pouch?,Ẹranko wo ló ń gbé ọmọ rẹ̀ sínú àpò?,Wace dabba ce take ɗaukar jaririnta a cikin jaka?,Kedu anụmanụ na-ebu nwa ya n'akpa?,Kangaroo
IS_013,Biology,What do humans use to smell things?,Kí ni àwọn ènìyàn ń lò láti fi gbóòórùn nǹkan?,Me mutane suke amfani da shi wajen jin ƙamshi ko wari?,Gịnị ka ụmụ mmadụ na-eji anu isi ihe?,Nose / Imú / Hanci / Imi
IS_014,Physics,What is the force that pulls things down to Earth?,Kí ni agbára tí ó ń fa nǹkan lọ sí ilẹ̀ ayé?,Wane ƙarfi ne yake jan abubuwa ƙasa zuwa Duniya?,Gịnị bụ ike na-adọta ihe n'ala?,Gravity / Gíráfítì / Jan ƙasa / 'Gravity'
IS_015,Physics,Does wood sink or float in water?,Ǹjẹ́ igi ń rì tàbí ó ń léfòó nínú omi?,Shin itace yana nitsewa ne ko kuwa yana shawagi a ruwa?,Osisi ọ na-emikpu n'ime mmiri ka ọ̀ na-ese n'elu mmiri?,Float / Léfòó / Shawagi / Ise n'elu
IS_016,Physics,What color is a leaf during the dry season usually?,Àwọ̀ wo ni ewé máa ń ní nígbà ọ̀dá sábà máa ń ní?,Wane launi ganye yake kasancewa dashi a lokacin rani?,Kedu ụcha akwụkwọ osisi na-enwekarị n'oge ọkọchị?,Brown or Yellow / Ilẹ̀ tàbí Ìyèyè / Ruwan ƙasa ko rawaya / Nchara
IS_017,Physics,Which tool do we use to measure temperature?,Ohun èlò wo ni a ń lò láti wọn bí ooru bá ṣe pọ̀ tó?,Wace na'ura muke amfani da ita wajen auna zafin jiki?,Kedu ihe anyị na-eji atụle ọkụ ahụ?,Thermometer
IS_018,Physics,What happens to water when it freezes?,Kí ni ó ń ṣẹlẹ̀ sí omi nígbà tí ó bá dì?,Me yake faruwa da ruwa idan ya daskare?,Gịnị na-eme mmiri ma ọ kpụkọọ?,It turns to ice / Ó ń di yìnyín / Ya zama ƙanƙara / Ọ na-aghọ mmiri kpụkọrọ akpụkọ
IS_019,Physics,Can sound travel through water?,Ǹjẹ́ ìró lè gba inú omi kọjá?,Shin sauti zai iya wucewa ta cikin ruwa?,Ụda ọ nwere ike isi n'ime mmiri gafee?,Yes / Bẹ́ẹ̀ ni / Iye / Ee
IS_020,Physics,Which material is attracted to a magnet?,Ohun èlò wo ni magnetì ń fà?,Wane irin abu ne maganaɗisu yake jawa?,Kedu ihe magnet na-adọta?,Iron or Steel / Irin / Karfe / Ígwè
IS_021,Physics,How many colors are in a rainbow?,Àwọ̀ mélòó ni ó wà nínú òṣùmàrè?,Launuka nawa ne suke cikin bakan gizo?,Ụcha ole dị n'egwurugwu?,7 / Méje / Bakwai / Asaa
IS_022,Physics,What do we call the path an object takes around the sun?,Kí ni a ń pe ọ̀nà tí nǹkan ń gbà yí oòrùn ká?,Me muke kiran hanyar da duniyoyi suke bi wajen zagaya rana?,Gịnị ka anyị na-akpọ ụzọ ihe na-eso agba gburugwu anyanwụ?,Orbit
IS_023,Physics,Which energy comes from the sun?,Agbára wo ni ó ń wá láti ọ̀dọ̀ oòrùn?,Wane ƙarfin haske ne yake fitowa daga rana?,Kedu ike na-esi n'anyanwụ abịa?,Solar Energy / Agbára oòrùn / Hasken rana / Ike anyanwụ
IS_024,Physics,"Is a rock a solid, liquid, or gas?","Ǹjẹ́ òkúta jẹ́ ohun líle, omi, tàbí afẹ́fẹ́?","Shin dutse daskararre ne, ko ruwa-ruwa, ko kuwa iska?","Nkume ọ̀ bụ ihe siri ike, mmiri, ka ọ̀ bụ ikuku?",Solid / Líle / Daskararre / Ihe siri ike
IS_025,Physics,What do you use to see things that are very tiny?,Kí ni o ń lò láti rí àwọn nǹkan tí ó kéré gan-an?,Me kake amfani da shi don ganin abubuwa ƙanana sosai?,Gịnị ka ị na-eji ahụ ihe ndị dị obere raba-raba?,Microscope
IS_026,Physics,Does a shadow get longer or shorter at noon?,Ǹjẹ́ òjìjí ń gùn sí i tàbí ó ń kéré sí i ní ọ̀sán gangan?,Shin inuwa tana tsayi ne ko tana gajarta da tsakar rana?,Onyinyo ọ na-adị ogologo ka ọ̀ na-adị mkpụmkpụ n'etiti ehihie?,Shorter / Kéré sí i / Gajarta / Mkpụmkpụ
IS_027,Math,How many corners does a square have?,Igun mélòó ni àwòrán onígun mẹ́rin ní?,Kusurwoyi nawa ne murabba'i yake da su?,Akụkụ ole ka 'square' nwere?,4 / Mẹ́rin / Huɗu / Anọ
IS_028,Math,What is 5 plus 5?,Mélòó ni márun dípò márun?,Nawa ne biyar hada da biyar?,Ise na ise gbakọọ bụ ole?,10 / Ẹ̀wá / Goma / Iri
IS_029,Math,Which shape is round like a ball?,Àwòrán wo ni ó rí roboto bíi bọ́ọ̀lù?,Wace siffa ce take da zagaye kamar ƙwallo?,Kedu ọdịdị dị gburugwu ka bọọlụ?,Circle / Obìrìkì / Da'ira / Okirikiri
IS_030,Math,"If you have 3 pencils and buy 3 more, how many do you have?","Tí o bá ní péńsílì 3 tí o sì tún ra 3 sí i, mélòó ni o ní?","Idan kana da fensir 3 ka sake siyan 3, nawa kake da su?","Ọ bụrụ na i nwere pensụl atọ, zụọkwa atọ ọzọ, ole ka i nwere?",6 / Mẹ́fà / Shida / Isii
IS_031,Math,"What is the next number: 2, 4, 6, _?","Kí ni nọ́m̀bà tó kàn: 2, 4, 6, _?","Wace lamba ce za ta biyo baya: 2, 4, 6, _?","Kedu nọmba na-esote: 2, 4, 6, _?",8 / Jẹ́jẹ́ / Takwas / Asatọ
IS_032,Math,Which is more: 15 or 12?,Èwo ló pọ̀ jù: 15 tàbí 12?,Wanne ne ya fi yawa: 15 ko 12?,Kedu nke ka ukwuu: 15 ka ọ̀ bụ 12?,15 / Mẹ́dogun / Goma sha biyar / Iri na ise
IS_033,Math,How many days are in a week?,Ọjọ́ mélòó ni ó wà nínú ọ̀sẹ̀ kan?,Kwanki nawa ne a mako guda?,Ole bụ ụbọchị dị n'ime izu otu?,7 / Méje / Bakwai / Asaa
IS_034,Math,What shape has 3 sides?,Àwòrán onígun mélòó ló ní ìhà 3?,Wace siffa ce take da ɓangarori uku?,Kedu ọdịdị nwere akụkụ atọ?,Triangle / Onígun mẹ́ta / Mai kusurwa uku / Triangle
IS_035,Math,Half of 4 is what?,Ìdajì mẹ́rin jẹ́ kí ni?,Rabon huɗu nawa ne?,Ọkara nke anọ bụ ole?,2 / Mejì / Biyu / Abụọ
IS_036,Math,What is 20 minus 5?,Mélòó ni ogún yọ márun?,Nawa ne ashirin debar biyar?,Iri abụọ wepụ ise bụ ole?,15 / Mẹ́dogun / Goma sha biyar / Iri na ise
IS_037,Math,How many months are in a year?,Oṣù mélòó ni ó wà nínú ọdún kan?,Watanni nawa ne a shekara guda?,Ọnwa ole dị n'ime otu afọ?,12 / Mejìlá / Goma sha biyu / Iri na abụọ
IS_038,Math,What is the symbol for addition?,Kí ni àmì fún ìròpọ̀?,Menene alamar ƙari?,Kedu ihe akara mgbakọ na nkwagharị?,+ / Plus
IS_039,Tech,What do we use to see websites on the internet?,Kí ni a ń lò láti wo àwọn ojú-ewé lórí íńtánẹ́ẹ̀tì?,Me muke amfani da shi don duba shafukan yanar gizo?,Gịnị ka anyị na-eji ahụ saịtị n'ịntanetị?,Web Browser
IS_040,Tech,Which button on a keyboard is the longest?,Bọ́tìnì wo lórí ìtẹ̀wé ló gùn jù lọ?,Wane maballin ne ya fi tsayi a jikin madannai?,Kedu bọtịnụ kachasị ogologo na 'keyboard'?,Spacebar
IS_041,Tech,Can a computer work without electricity or a battery?,Ǹjẹ́ kọ̀m̀pútà lè ṣiṣẹ́ láìsí iná mànàmáná tàbí bátìrì?,Shin kwamfuta za ta iya aiki ba tare da wutar lantarki ko baturi ba?,Kọmputa ọ nwere ike ịrụ ọrụ n'enweghị ọkụ eletrik ma ọ bụ batrị?,No / Rárá / A'a / Mba
IS_042,Earth,Which planet is known as the 'Red Planet'?,Púlánẹ́ẹ̀tì wo ni a mọ̀ sí 'Púlánẹ́ẹ̀tì Pupa'?,Wace duniya ce aka sani da 'Jajayen Duniya'?,Kedu 'planet' a maara dị ka 'Red Planet'?,Mars
IS_043,Earth,What is the process of water falling from clouds called?,Kí ni a ń pe ìlànà tí omi ń já bọ́ láti inú àwọsánmọ̀?,Me muke kiran saukar ruwa daga gajimare?,Gịnị ka anyị na-akpọ mmiri na-esi n'igwe adaba?,Rain / Òjò / Ruwan sama / Mmiri ozuzo
IS_044,Earth,Which season follows the rainy season in Nigeria?,Sáà wo ló ń tẹ̀ lé sáà òjò ní Nàìjíríà?,Wane lokaci ne yake biyo bayan lokacin damina a Najeriya?,Kedu oge na-esote oge mmiri ozuzo na Naịjirịa?,Dry Season / Sáà ọ̀dá / Lokacin rani / Ọkọchị
IS_045,Earth,What are large bodies of salt water called?,Kí ni a ń pe àwọn omi iyọ̀ títóbi?,Me muke kiran manyan tekuna masu gishiri?,Gịnị ka anyị na-akpọ nnukwu mmiri nnu?,Oceans / Òkun / Tekuna / Oke osimiri
IS_046,Earth,What gas do humans breathe in to live?,Afẹ́fẹ́ wo ni àwọn ènìyàn ń mí sínú láti wà láàyè?,Wace iska ce mutane suke sha don su rayu?,Kedu ikuku ụmụ mmadụ na-eku ume iji dịrị ndụ?,Oxygen
IS_047,Earth,Which part of the Earth is mostly covered by water?,Apá wo nínú ayé ni omi bo jù lọ?,Wane sashi na duniya ne mafi yawansa ruwa ne ya rufe shi?,Kedu akụkụ ụwa mmiri kachasị kpuchie?,Surface / Ojú ayé / Doron ƙasa / Elu ụwa
IS_048,Earth,What do we call a mountain that can explode with lava?,Kí ni a ń pe òkè tí ó lè bú pẹ̀lú láfà?,Me muke kiran dutsen da yake aman wuta?,Gịnị ka anyị na-akpọ ugwu nwere ike ịgbapụta 'lava'?,Volcano
IS_049,Earth,How long does it take for the Earth to go around the sun once?,Báwo ni ó ṣe ń pẹ́ tó fún ayé láti yí oòrùn ká lẹ́ẹ̀kan?,Tsawon lokaci nawa ne duniya take zagaya rana sau daya?,Ole ka ọ na-ewe ụwa ịgba anyanwụ gburugwu otu ugboro?,One Year / Ọdún kan / Shekara guda / Otu afọ
IS_050,Earth,Which star is closest to the Earth?,Ìràwọ̀ wo ló sún mọ́ ayé jù lọ?,Wane tauraro ne ya fi kusa da duniya?,Kedu kpakpando kachasị ụwa nso?,The Sun / Oòrùn / Rana / Anyanwụ
